Wiosłowanie półsztangą|REPEAT|SPLIT;FBW;FITNESS|14|BACK|1) Pozycja stojąca prostopadle do sztangi, tułów pochylony pod kątem około 45 stopni, kolana lekko ugięte.2) Ramię wyprostowane, sztanga trzymana w dłoni.3) Sztanga zablokowana pomiędzy ciężarami lub w przeznaczonym do tego miejscu/uchwycie.4) Łokieć drugiej ręki oparty na kolanie.|1) Utrzymując prawidłową pozycję, weź wdech, zainicjuj ruch poprzez ściągnięcie łopatki w dół i do kręgosłupa, przyciągnij gryf do siebie, w stronę biodra.2) Wykonaj maksymalny skurcz mięśni grzbietu, zatrzymaj ruch na ułamek sekundy, wykonaj wydech.3) Opuść sztangę do pozycji wyjściowej, powinieneś odczuć mocne rozciągnięcie mięśni pleców.|1) Utrzymuj proste plecy podczas wykonywania ćwiczenia.2) Podczas wykonywania ruchu skup się na pracy łopatek.3) Zwróć uwagę na prawidłowe oddychanie.4) Postaraj się wykonywać ruch poprzez mocną pracę mięśni grzbietu.5) Staraj się nie kołysać tułowiem.|video-wioslowanie-polsztanga.mp4
Zwis aktywny|REPEAT|SPLIT;FBW;FITNESS|18|BACK|1) Drążek trzymany nachwytem (kciuki skierowane do wewnątrz), szerzej niż rozstaw barków.2) Ramiona wyprostowane, wzrok skierowany w przód.|1) Weź wdech, ściągnij łopatki w tył i w dół bez uginania ramion.2) Następnie zatrzymaj pozycję w skurczu izometrycznym przez określony czas.3) Powolnym, kontrolowanym ruchem opuść ciało do pozycji początkowej.|1) Unikaj kołysania tułowiem i „zarzucania” ciała w górę. Nie odbijaj się także z nóg.2) Ćwiczenie wykonuj powoli, z pełnym wyczuciem zaangażowanej grupy mięśniowej.3) Podczas wykonywania ruchu skup się na pracy łopatek.4) Zwróć uwagę na prawidłowe oddychanie.|video-zwis-aktywny.mp4
Scap pull up|REPEAT|SPLIT;FBW;FITNESS|18|BACK|1) Drążek trzymany nachwytem (kciuki skierowane do wewnątrz), szerzej niż rozstaw barków.2) Ramiona wyprostowane, wzrok skierowany w przód.|1) Weź wdech, ćwiczenie polega na ściągnięciu łopatek w tył i w dół bez uginania ramion.2) Zatrzymaj pozycję w skurczu izometrycznym.3) Następnie powolnym, kontrolowanym ruchem opuść ciało do pozycji początkowej.|1) Unikaj kołysania tułowiem i „zarzucania” ciała w górę. Nie odbijaj się także z nóg.2) Ćwiczenie wykonuj powoli, z pełnym wyczuciem zaangażowanej grupy mięśniowej.3) Podczas wykonywania ruchu skup się na pracy łopatek.4) Zwróć uwagę na prawidłowe oddychanie.|video-scap-pull-up.mp4
Kayak row|REPEAT|SPLIT;FBW;FITNESS|8|BACK| 1) Pozycja stojąca, przodem do wyciągu. Nogi w lekkim rozkroku, ciało w lekkim opadzie tułowia. 2) Gryf prosty trzymany nachwytem na szerokość barków, ramiona wyprostowane w górze.| 1) Weź wdech, a następnie utrzymując proste ramiona, przyciągnij gryf w kierunku biodra, jakbyś imitował ruch wiosłowania w kajaku, mocno napinaj mięśnie najszersze grzbietu i ściągnij łopatkę do kręgosłupa.  2) W momencie gdy dłoń znajdzie się przy biodrze, zatrzymaj ruch na ułamek sekundy i wykonaj wydech. 3) Wykonując wdech, wróć do pozycji wyjściowej.| 1) Unikaj kołysania tułowiem i „rozpędzania” ciężaru. 2) Ćwiczenie wykonuj powoli, z pełnym wyczuciem zaangażowanej grupy mięśniowej. 3) Postaraj się inicjować ruch pracą mięśni grzbietu. 4) Podczas wykonywania ruchu skup się na pracy łopatek. 5) Zwróć uwagę na prawidłowe oddychanie.|video-kayak-row.mp4
Prostopadłe ściąganie gumy do bioder leżąc|REPEAT|FITNESS|13|BACK| 1) Pozycja leżąca na plecach.2) Guma zaczepiona o stabilną podporę.3) Ramiona wyprostowane za głową, trzymają gumę nachwytem.|1) Weź wdech, a następnie utrzymując proste ramiona, przyciągnij gumę łukiem w kierunku bioder, mocno napinając mięśnie najszersze grzbietu oraz ściągając łopatki do siebie i w dół.2) W momencie gdy dłonie znajdą się przy biodrach, zatrzymaj ruch na ułamek sekundy. Wykonaj wydech.3) Wróć do pozycji wyjściowej, wykonując wdech.4) Wykonaj zadaną liczbę powtórzeń.|1) Ćwiczenie wykonuj powoli, z pełnym wyczuciem zaangażowanej grupy mięśniowej.2) Postaraj się inicjować ruch pracą mięśni grzbietu.3) Podczas wykonywania ruchu skup się na pracy łopatek.4) Zwróć uwagę na prawidłowe oddychanie.|video-prostopadle-sciaganie-gumy-do-bioder-lezac.mp4
Prostopadłe ściąganie gumy do bioder stojąc|REPEAT|FITNESS|13|BACK|1) Pozycja stojąca, przodem do gumy zaczepionej wyżej. Nogi w lekkim rozkroku, ciało w lekkim opadzie tułowia.2) Guma trzymana nachwytem na szerokość barków, ramiona wyprostowane w górze.|1) Weź wdech, a następnie utrzymując proste ramiona, przyciągnij gumę łukiem w kierunku bioder, mocno napinając mięśnie najszersze grzbietu oraz ściągając łopatki do siebie i w dół.2) W momencie gdy dłonie znajdą się przy biodrach, zatrzymaj ruch na ułamek sekundy. Wykonaj wydech.3) Wykonując płynny wdech, wróć do pozycji wyjściowej.|1) Ćwiczenie wykonuj powoli, z pełnym wyczuciem zaangażowanej grupy mięśniowej.2) Postaraj się inicjować ruch pracą mięśni grzbietu.3) Podczas wykonywania ruchu skup się na pracy łopatek.4) Zwróć uwagę na prawidłowe oddychanie.|video-prostopadle-sciaganie-gumy-do-bioder-stojac.mp4
Ściąganie gumy do klatki piersiowej|REPEAT|FITNESS|13|BACK| 1) Wykonaj siad klęczny. 2) Guma oporowa zaczepiona wysoko, w ramionach, trzymana nachwytem.|1) Weź wdech, ruch rozpocznij od ściągnięcia łopatek w dół i do siebie.2) Płynnym ruchem dołącz pracę ramion, łokcie kieruj w stronę bioder.3) W momencie gdy guma znajdzie się tuż poniżej barków, wyraźnie zatrzymaj ruch, wykonaj wydech i powolnym ruchemwróć aż do pełnego wyprostu ramion. 4) Wykonaj wyznaczoną liczbę powtórzeń.|1) Ćwiczenie wykonuj powoli, z pełnym wyczuciem zaangażowanej grupy mięśniowej.2) Postaraj się inicjować ruch z mięśni grzbietu, a nie z ramion.3) Podczas wykonywania ruchu skup się na pracy łopatek.4) Zwróć uwagę na prawidłowe oddychanie.|video-sciaganie-gumy-do-klatki-piersiowej.mp4
Ściąganie gumy za kark|REPEAT|FITNESS|13|BACK| 1) Wykonaj siad klęczny. 2) Guma oporowa zaczepiona wysoko, w wyprostowanych ramionach, trzymana nachwytem nad głową.|1) Weź wdech, ruch rozpocznij od ściągnięcia łopatek w dół i do siebie.2) Płynnym ruchem dołącz pracę ramion, łokcie kieruj w stronę bioder.3) W momencie gdy guma znajdzie się tuż za głową, zatrzymaj ruch, wykonaj wydech i powolnym ruchemwróć aż do pełnego wyprostu ramion.|1) Ćwiczenie wykonuj powoli, z pełnym wyczuciem zaangażowanej grupy mięśniowej.2) Postaraj się inicjować ruch z mięśni grzbietu, a nie z ramion.3) Podczas wykonywania ruchu skup się na pracy łopatek.4) Zwróć uwagę na prawidłowe oddychanie.|video-sciaganie-gumy-za-kark.mp4
Wiosłowanie gumą|REPEAT|FITNESS|13|BACK| 1) Pozycja stojąca, przodem do miejsca zaczepienia gumy.2) Ramiona wyprostowane, trzymają gumę.|1) Weź wdech, ruch rozpocznij od ściągnięcia łopatek w dół i do siebie.2) Płynnym ruchem dołącz pracę ramion, łokcie kieruj blisko przy ciele.3) W momencie gdy guma znajdzie się przy ciele, wyraźnie zatrzymaj ruch, wykonaj wydech i powolnym ruchemwróć aż do pełnego wyprostu ramion.4) Wykonaj wyznaczoną liczbę powtórzeń.|1) Ćwiczenie wykonuj powoli, z pełnym wyczuciem zaangażowanej grupy mięśniowej.2) Postaraj się inicjować ruch z mięśni grzbietu, a nie z ramion.3) Podczas wykonywania ruchu skup się na pracy łopatek.4) Zwróć uwagę na prawidłowe oddychanie.|video-wioslowanie-guma.mp4
Ściąganie chwytem neutralnym z wyciągu górnego|REPEAT|SPLIT;FBW;FITNESS|8|BACK|1) Pozycja siedząca, przodem do wyciągu. Kolana zablokowane o wałki.2) Drążek trzymany chwytem neutralnym. Ramiona wyprostowane w górze.|1) Weź wdech, odchyl się nieznacznie, ruch przyciągania drążka rozpocznij od maksymalnego opuszczenia barków oraz ściągnięcia łopatek do siebie. 2) Intencją ruchu jest przyciągnięcie łokci do bioder, ściąganie kontynuuj, aż drążek znajdzie się w okolicy górnej części klatki piersiowej.3) Zatrzymaj ruch na ułamek sekundy, a następnie wraz z wydechem spokojnym ruchem rozpocznij opuszczanie ciężaru do maksymalnego rozciągnięcia.|1) Unikaj kołysania tułowiem i „rozpędzania” drążka.2) Ćwiczenie wykonuj powoli, z pełnym wyczuciem zaangażowanej grupy mięśniowej.3) Postaraj się inicjować ruch z mięśni grzbietu, a nie z ramion.4) Skup się podczas wykonywania ruchu.5) Zwróć uwagę na prawidłowe oddychanie.|sciaganie_chwytem_neutralnym_z_wyciagu_gornego.mp4
